id_maquina,timestamp,falha_72h,probabilidade_v1,predicao_v1,probabilidade_v2,predicao_v2
M01,2026-06-08 00:00:00,0,0.006915516666666667,0,0.0,0
M02,2026-06-08 00:00:00,0,0.4691451499999999,0,0.4793624625,0
M03,2026-06-08 00:00:00,0,0.35419113333333335,0,0.29277263750000015,0
M04,2026-06-08 00:00:00,0,0.0349431,0,0.0,0
M05,2026-06-08 00:00:00,0,0.4793679666666667,0,0.3058649000000001,0
M06,2026-06-08 00:00:00,0,0.07280536666666666,0,0.026388887500000003,0
M07,2026-06-08 00:00:00,0,0.016413383333333333,0,0.0028789124999999997,0
M08,2026-06-08 00:00:00,0,0.0,0,0.0005434750000000001,0
M09,2026-06-08 00:00:00,0,0.025154149999999997,0,0.0005493875,0
M10,2026-06-08 00:00:00,0,0.09608458333333333,0,0.04800426250000001,0
M11,2026-06-08 00:00:00,1,0.9168572166666668,1,0.8496618375,1
M12,2026-06-08 00:00:00,0,0.027253083333333334,0,0.005116425,0
M13,2026-06-08 00:00:00,0,0.35398715,0,0.3599663624999999,0
M14,2026-06-08 00:00:00,0,0.013630383333333333,0,0.0010988750000000002,0
M15,2026-06-08 00:00:00,0,0.23474424999999996,0,0.13718209999999997,0
M16,2026-06-08 00:00:00,0,0.009187083333333335,0,0.0035714250000000005,0
M17,2026-06-08 00:00:00,1,0.5303919333333333,1,0.195850575,0
M18,2026-06-08 00:00:00,0,0.8631679166666666,1,0.6756624874999998,1
M19,2026-06-08 00:00:00,0,0.07316343333333333,0,0.024240775,0
M20,2026-06-08 00:00:00,0,0.028404949999999998,0,0.0045606125,0
M21,2026-06-08 00:00:00,1,0.7573302999999999,1,0.49690638750000005,0
M22,2026-06-08 00:00:00,0,0.14699444999999997,0,0.019062075000000005,0
M23,2026-06-08 00:00:00,0,0.8351958166666669,1,0.8407897999999999,1
M24,2026-06-08 00:00:00,0,0.00043158333333333335,0,0.0008561625,0
M25,2026-06-08 00:00:00,0,0.5511813499999999,1,0.502495125,1
M01,2026-06-08 01:00:00,0,0.023186233333333337,0,0.0020833375,0
M02,2026-06-08 01:00:00,0,0.42839525000000006,0,0.4480821375,0
M03,2026-06-08 01:00:00,0,0.8459395333333333,1,0.63896065,1
M04,2026-06-08 01:00:00,0,0.015223466666666666,0,0.0039334,0
M05,2026-06-08 01:00:00,0,0.5173746166666667,1,0.36754609999999993,0
M06,2026-06-08 01:00:00,0,0.06573805,0,0.029040862499999997,0
M07,2026-06-08 01:00:00,0,0.011760450000000002,0,0.0009111125000000001,0
M08,2026-06-08 01:00:00,0,0.0,0,0.0,0
M09,2026-06-08 01:00:00,0,0.11176281666666667,0,0.049590175,0
M10,2026-06-08 01:00:00,0,0.2703992,0,0.14801746249999997,0
M11,2026-06-08 01:00:00,1,0.8248523,1,0.7309164875,1
M12,2026-06-08 01:00:00,0,0.020219466666666668,0,0.0043037375,0
M13,2026-06-08 01:00:00,0,0.4477863166666667,0,0.5006664375,1
M14,2026-06-08 01:00:00,0,0.023049500000000004,0,0.0014655875000000001,0
M15,2026-06-08 01:00:00,0,0.24992656666666674,0,0.2022871125,0
M16,2026-06-08 01:00:00,0,0.008754483333333335,0,0.00321245,0
M17,2026-06-08 01:00:00,1,0.4697184666666666,0,0.18717884999999998,0
M18,2026-06-08 01:00:00,0,0.8587768333333332,1,0.7314294374999999,1
M19,2026-06-08 01:00:00,0,0.06604366666666665,0,0.006293,0
M20,2026-06-08 01:00:00,0,0.041740266666666664,0,0.0143261625,0
M21,2026-06-08 01:00:00,1,0.8951923999999998,1,0.6768751624999997,1
M22,2026-06-08 01:00:00,0,0.07639334999999998,0,0.006695324999999999,0
M23,2026-06-08 01:00:00,0,0.834437116666667,1,0.7552448375000003,1
M24,2026-06-08 01:00:00,0,0.005193133333333333,0,0.0004914625,0
M25,2026-06-08 01:00:00,0,0.45381534999999995,0,0.41480007499999993,0
M01,2026-06-08 02:00:00,0,0.023910716666666665,0,0.005662800000000001,0
M02,2026-06-08 02:00:00,0,0.3884382666666667,0,0.3766752375,0
M03,2026-06-08 02:00:00,0,0.8491581,1,0.6277179749999999,1
M04,2026-06-08 02:00:00,0,0.020274683333333335,0,0.009468200000000001,0
M05,2026-06-08 02:00:00,0,0.7475695666666664,1,0.4001340750000001,0
M06,2026-06-08 02:00:00,0,0.06214268333333333,0,0.0265039625,0
M07,2026-06-08 02:00:00,0,0.024058116666666667,0,0.0062013125,0
M08,2026-06-08 02:00:00,0,0.0,0,0.0,0
M09,2026-06-08 02:00:00,0,0.048254283333333335,0,0.004111175,0
M10,2026-06-08 02:00:00,0,0.12746241666666663,0,0.0758596,0
M11,2026-06-08 02:00:00,1,0.9168879000000001,1,0.8666748875000001,1
M12,2026-06-08 02:00:00,0,0.034124433333333336,0,0.0096072625,0
M13,2026-06-08 02:00:00,0,0.38142396666666667,0,0.40689649999999994,0
M14,2026-06-08 02:00:00,0,0.01819335,0,0.0013487625,0
M15,2026-06-08 02:00:00,0,0.24391538333333335,0,0.2375183375,0
M16,2026-06-08 02:00:00,0,0.040259716666666674,0,0.0075884,0
M17,2026-06-08 02:00:00,1,0.8224186999999997,1,0.5276344125000001,1
M18,2026-06-08 02:00:00,0,0.7951536666666665,1,0.5582119750000001,1
M19,2026-06-08 02:00:00,0,0.059277699999999996,0,0.018748800000000003,0
M20,2026-06-08 02:00:00,0,0.010140733333333336,0,0.004310725,0
M21,2026-06-08 02:00:00,1,0.7388426500000002,1,0.5158161624999998,1
M22,2026-06-08 02:00:00,0,0.09824426666666668,0,0.0082719625,0
M23,2026-06-08 02:00:00,0,0.7754593500000001,1,0.488091525,0
M24,2026-06-08 02:00:00,0,0.005193133333333333,0,0.0004914625,0
M25,2026-06-08 02:00:00,0,0.5716607333333334,1,0.5012901124999999,1
M01,2026-06-08 03:00:00,0,0.02380628333333333,0,8.9e-06,0
M02,2026-06-08 03:00:00,0,0.48883291666666656,0,0.440579325,0
M03,2026-06-08 03:00:00,0,0.8583690333333334,1,0.6477661125000002,1
M04,2026-06-08 03:00:00,0,0.024253700000000003,0,0.005998612500000001,0
M05,2026-06-08 03:00:00,0,0.5387639666666666,1,0.39013231249999997,0
M06,2026-06-08 03:00:00,0,0.05567048333333335,0,0.026963525,0
M07,2026-06-08 03:00:00,0,0.04449368333333334,0,0.026157950000000003,0
M08,2026-06-08 03:00:00,0,0.0060041,0,0.001965725,0
M09,2026-06-08 03:00:00,0,0.051062916666666666,0,0.0009731875000000001,0
M10,2026-06-08 03:00:00,0,0.11975483333333332,0,0.0784346875,0
M11,2026-06-08 03:00:00,1,0.8421652999999999,1,0.7386211,1
M12,2026-06-08 03:00:00,0,0.022268533333333337,0,0.0005434750000000001,0
M13,2026-06-08 03:00:00,0,0.36526275,0,0.46276874999999995,0
M14,2026-06-08 03:00:00,0,0.015368283333333335,0,0.0007805749999999999,0
M15,2026-06-08 03:00:00,0,0.22835826666666664,0,0.229884775,0
M16,2026-06-08 03:00:00,0,0.040259716666666674,0,0.0075884,0
M17,2026-06-08 03:00:00,1,0.5604708666666668,1,0.16235972499999998,0
M18,2026-06-08 03:00:00,0,0.8260471666666668,1,0.6336385250000001,1
M19,2026-06-08 03:00:00,0,0.18873878333333335,0,0.0725687375,0
M20,2026-06-08 03:00:00,0,0.010140733333333336,0,0.006130575,0
M21,2026-06-08 03:00:00,1,0.8960965166666662,1,0.6458412749999998,1
M22,2026-06-08 03:00:00,0,0.08426033333333333,0,0.00484585,0
M23,2026-06-08 03:00:00,0,0.7957744833333333,1,0.5669902625000002,1
M24,2026-06-08 03:00:00,0,0.008130799999999999,0,0.00031099999999999997,0
M25,2026-06-08 03:00:00,0,0.49579363333333326,0,0.4582082500000001,0
M01,2026-06-08 04:00:00,0,0.020457716666666667,0,0.0019825875,0
M02,2026-06-08 04:00:00,0,0.8678783999999997,1,0.8388496874999998,1
M03,2026-06-08 04:00:00,0,0.8471488333333334,1,0.6200813750000002,1
M04,2026-06-08 04:00:00,0,0.03933473333333334,0,0.0026230000000000003,0
M05,2026-06-08 04:00:00,0,0.45293748333333345,0,0.335860025,0
M06,2026-06-08 04:00:00,0,0.09890788333333335,0,0.0452871375,0
M07,2026-06-08 04:00:00,0,0.0238778,0,0.007950212500000001,0
M08,2026-06-08 04:00:00,0,0.019431066666666667,0,0.003289475,0
M09,2026-06-08 04:00:00,0,0.060993649999999996,0,0.0026503625000000005,0
M10,2026-06-08 04:00:00,0,0.11848790000000001,0,0.08575405,0
M11,2026-06-08 04:00:00,1,0.8827834833333336,1,0.818591275,1
M12,2026-06-08 04:00:00,0,0.031049466666666668,0,0.010986199999999998,0
M13,2026-06-08 04:00:00,0,0.3715030666666667,0,0.44654227499999993,0
M14,2026-06-08 04:00:00,0,0.02044211666666667,0,0.0011871625,0
M15,2026-06-08 04:00:00,0,0.4602380833333333,0,0.3917187374999999,0
